Position,Song,Artist
1,Lovin On Me,Jack Harlow
2,Lil Boo Thang,Paul Russell
3,White Horse,Chris Stapleton
4,I Remember Everything (feat. Kacey Musgraves),Zach Bryan
5,Save Me (with Lainey Wilson),Jelly Roll
6,Need A Favor,Jelly Roll
7,90s Rap Mashup,Austin Williams
8,Cruel Summer,Taylor Swift
9,Sin So Sweet,Warren Zeiders
10,Now And Then,The Beatles
11,Around Me the Cold Night,Luminara Stellaris
12,Fairytale Of Philadelphia,"The Philly Specials, Jason Kelce & Travis Kelce"
13,Thinkin’ Bout Me,Morgan Wallen
14,Next Winter I Will Wait for You Forever,Luminara Stellaris
15,Christmas / Sarajevo 12/24 (Instrumental),Trans-Siberian Orchestra
16,Fast Car,Luke Combs
17,greedy,Tate McRae
18,All I Want for Christmas Is You,Mariah Carey
19,Lose Control,Teddy Swims
20,In the Sky a White Cloud Drifted Lazily,Luminara Stellaris
21,Houdini,Dua Lipa
22,Wrap Me Up,Jimmy Fallon & Meghan Trainor
23,Even Though I Know You,Luminara Stellaris
24,Standing Next to You,Jung Kook
25,Last Night,Morgan Wallen
26,Water,Tyla
27,Paint The Town Red,Doja Cat
28,Now I Know I Know I've Lost You,Luminara Stellaris
29,Where the Wild Things Are,Luke Combs
30,Rockin' Around the Christmas Tree (Single),Brenda Lee
31,Evil Ways (feat. J. Cole),Drake
32,The Wind Brings Winter,Luminara Stellaris
33,3D,Jung Kook & Jack Harlow
34,Still Not Fade the Footprints,Luminara Stellaris
35,Tonight I Dreamed a Pink Dream,Luminara Stellaris
36,You Broke My Heart,Drake
37,exes,Tate McRae
38,Can’t Catch Me Now (from The Hunger Games: The Ballad of Songbirds & Snakes),Olivia Rodrigo
39,Karma,Taylor Swift
40,My Heart Has Come Back,Luminara Stellaris
41,Why Don't You Tell the Truth ?,The day you
42,I Still Miss You Every Time Dusk Falls,Luminara Stellaris
43,Used To Be Young,Miley Cyrus
44,Better Place (From TROLLS Band Together),*NSYNC & Justin Timberlake
45,Fancy Like Christmas,Walker Hayes
46,To Be A Man (feat. Darius Rucker),Dax
47,Rich Men North of Richmond,Oliver Anthony Music
48,Standing Next to You (Band Version),Jung Kook
49,Snowman,Sia
50,You Don't Need to Worry,The day you
51,Standing Next to You (Instrumental),Jung Kook
52,Wild Ones (Extended Version),Jessie Murph & Jelly Roll
53,The Pink Rays of Sunlight Disappear,Luminara Stellaris
54,Standing Next to You (Future Funk Remix),Jung Kook
55,Standing Next to You (Slow Jam Remix),Jung Kook
56,Standing Next to You (Holiday Remix),Jung Kook
57,Keith,Kaylee Bell
58,Save Me,Jelly Roll
59,Standing Next to You (PBR&B Remix),Jung Kook
60,Watermelon Moonshine,Lainey Wilson
61,Standing Next to You (Latin Trap Remix),Jung Kook
62,Gratitude,Brandon Lake
63,Flyin' Pass (Single),Caldwell
64,Wizards in Winter (Instrumental),Trans-Siberian Orchestra
65,Anti-Hero,Taylor Swift
66,The Painter,Cody Johnson
67,Nights in White Satin (Single Edit),"The Moody Blues, London Festival Orchestra & Peter Knight"
68,The Buds of Youth Are Still Lingering There,Luminara Stellaris
69,If You Dont Have One-The Day You,The day you
70,Lover,Taylor Swift
71,Islands In the Stream,Dolly Parton & Kenny Rogers
72,Fairytale Of Philadelphia,"The Philly Specials, Jason Kelce & Travis Kelce"
73,MONACO,Bad Bunny
74,Dance The Night,Dua Lipa
75,The Christmas Song (Merry Christmas to You),"Nat ""King"" Cole"
76,Is It Over Now? (Taylor's Version) [From The Vault],Taylor Swift
77,My Arms Are Spread Wide With Joy,Luminara Stellaris
78,Son Of A Sinner,Jelly Roll
79,Stories About My Brother,Drake
80,The Shoe Fits,Drake
81,Forever Settled Inside Me,Luminara Stellaris
82,Red Button,Drake
83,The Best,Nicotine Dolls
84,So It's Sad to Be Apart,Luminara Stellaris
85,Tennessee Whiskey,Chris Stapleton
86,A Mad Russian's Christmas (Instrumental),Trans-Siberian Orchestra
87,Wick Man,Drake
88,Dirt Cheap,Cody Johnson
89,G6,2 Chainz & Lil Wayne
90,Please Stay Don't Go,The day you
91,Dial Drunk,Noah Kahan & Post Malone
92,Let It Be (feat. Paul McCartney & Ringo Starr),Dolly Parton
93,Presha,2 Chainz & Lil Wayne
94,Purple Rain,Dolly Parton
95,TRUCK BED,HARDY
96,Those Who Leave Will Not Return,Luminara Stellaris
97,Christmas Canon Rock,Trans-Siberian Orchestra
98,In My Life,The Beatles
99,White Christmas,Bing Crosby
100,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish
